이름,주소,위도,경도
63빌딩,서울특별시 영등포구 63로 50 (여의도동),37.5194647,126.9398326
aT센터,서울특별시 서초구 강남대로 27 (양재동),37.4786708,127.0366274
COEX,서울특별시 강남구 영동대로 513 (삼성동),37.5101935,127.0585824
DDP,서울특별시 중구 을지로 281 (을지로7가),37.565402,127.0099146
KBS 상암 미디어센터,서울특별시 마포구 매봉산로 45 (상암동 1652),37.5763934,126.8909115
MBC 글로벌미디어센터,서울특별시 마포구 상암동 성암로 267,37.5740931,126.9035854
SBS 방송센터,서울특별시 양천구 목동서로 161 (목동),37.5291029,126.8740049
가든파이브,서울특별시 송파구 충민로 66 (문정동),37.4775778,127.1249983
가락시장,서울특별시 송파구 문정동 양재대로 932,37.4933411,127.1097998
경동시장,서울특별시 동대문구 고산자로36길 3,37.5792013,127.0391628
경방 타임스퀘어,서울특별시 영등포구 영중로 15 타임스퀘어,37.5171327,126.9037826
경복궁,서울특별시 종로구 사직로 161 경복궁,37.579617,126.977041
고척 스카이돔,서울특별시 구로구 경인로 430 고척스카이돔,37.498182,126.866976
광화문,서울 종로구 효자로 12 국립고궁박물관,37.5765793,126.9750965
광화문 세종대왕상,서울특별시 종로구 세종대로 172,37.571619,126.976754
광화문 이순신동상,서울특별시 종로구 세종대로 172,37.571619,126.976754
국립국악원,서울특별시 서초구 남부순환로 2364,37.4786094,127.0113069
국립극장,서울특별시 중구 장충단로 59,37.5528597,126.9998129
국립서울현충원,서울특별시 동작구 현충로 210 (동작동),37.4996897,126.9785099
국립중앙도서관,서울특별시 서초구 반포대로 201 (반포동),37.4971902,127.0033029
국립중앙박물관,서울특별시 용산구 서빙고로 137,37.5246635,126.9777271
국립항공박물관,서울특별시 강서구 하늘길 177,37.555525,126.8067017
국회의사당,서울특별시 영등포구 의사당대로 1 (여의도동),37.5197489,126.9297194
김포국제공항,서울특별시 강서구 하늘길 38,37.5667733,126.8025118
낙성대 강감찬 동상,서울특별시 관악구 낙성대로 77 낙성대공원,37.4711007,126.95999
남산골한옥마을,서울특별시 중구 퇴계로34길 28 남산골한옥마을,37.559315,126.994477
남산서울타워,서울특별시 용산구 남산공원길 105,37.5509473,126.9892965
노량진수산시장,서울특별시 동작구 노들로 674 노량진수산물도매시장,37.5152131,126.9408624
덕수궁,서울특별시 중구 세종대로 99 덕수궁,37.5658049,126.9751461
독립문,서울특별시 서대문구 현저동 941,37.5722457,126.9595905
드래곤 힐스파,서울특별시 용산구 한강대로21나길 40,37.5273486,126.9640848
디큐브시티,서울특별시 구로구 경인로 662 (신도림동),37.50904,126.889424
롯데월드,서울특별시 송파구 올림픽로 240,37.5112348,127.0980274
롯데월드타워,서울특별시 송파구 올림픽로 300,37.5213517,127.1026097
목동 종합운동장,서울특별시 양천구 안양천로 939 아이스링크,37.5307484,126.8792622
문화역서울284(서울역),서울특별시 중구 통일로 1 문화역서울 284,37.5558351,126.971732
보신각,서울특별시 종로구 종로 54 보신각,37.5697987,126.9837167
북서울 꿈의 숲,서울특별시 강북구 월계로 173,37.6214312,127.0406246
북촌한옥마을,서울특별시 종로구 계동길 37,37.5790313,126.9864082
블루스퀘어,서울특별시 용산구 이태원로 294,37.5407125,127.0026581
서대문형무소역사관,서울특별시 서대문구 통일로 251 서대문형무소역사관,37.574271,126.956071
서울광장,서울특별시 중구 세종대로 110 앞 (태평로1가),37.5679872,126.9771635
서울국제금융센터,서울특별시 영등포구 국제금융로 10 (여의도동),37.5249367,126.9252845
서울무역전시컨벤션센터,서울특별시 강남구 남부순환로 3104,37.495846,127.0722393
서울숲,서울특별시 성동구 뚝섬로 273,37.5431644,127.0418547
서울식물원,서울특별시 강서구 마곡동로 161,37.5692443,126.8353781
서울올림픽주경기장,서울특별시 송파구 올림픽로 25 (잠실동),37.517074,127.0885658
서울월드컵경기장,서울특별시 마포구 월드컵로 240 (성산동),37.55922,126.9139289
서울특별시청,서울특별시 중구 세종대로 110,37.5663797,126.9777154
서초구 예술의 전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786094,127.0113069
세빛섬,서울특별시 서초구 올림픽대로 2085-14 세빛섬,37.5116807,126.9947194
세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5721241,126.9760848
숭례문,서울특별시 중구 세종대로 40,37.5599416,126.9753042
암사동 선사유적지,서울특별시 강동구 올림픽로 875,37.5605739,127.1308674
올림픽공원 평화의 문,서울특별시 송파구 위례성대로 51,37.5163167,127.11352
용마폭포공원,서울특별시 중랑구 용마산로 250-12,37.5733026,127.0891138
용산역,서울특별시 용산구 한강대로23길 55,37.5288539,126.9640447
잠실야구장,서울특별시 송파구 올림픽로 19-2 서울종합운동장,37.5148406,127.0731124
장충체육관,서울특별시 중구 동호로 241,37.5581465,127.0065932
전쟁기념관,서울특별시 용산구 이태원로 29 전쟁기념관,37.5366059,126.9771397
종로타워,서울특별시 종로구 종로 51 (종로2가),37.5707727,126.983525
종묘,서울특별시 종로구 종로 157,37.5729316,126.9943518
창경궁,서울특별시 종로구 창경궁로 185 창경궁,37.5787708,126.9948698
창덕궁,서울특별시 종로구 율곡로 99,37.5800952,126.9918496
창덕궁 비원,서울특별시 종로구 창경궁로 185 창경궁,37.5787708,126.9948698
청와대,서울특별시 종로구 청와대로 1,37.586652,126.9767701
탑골공원,서울특별시 종로구 종로 99 (종로2가),37.5711455,126.9883295
테크노마트,서울특별시 광진구 광나루로56길 85 테크노-마트21,37.5358089,127.0956288
파크원,서울특별시 영등포구 여의대로 108 (여의도동),37.5237584,126.9225703
흥인지문,서울특별시 종로구 종로 288 흥인지문,37.5711389,127.0095452
양재시민의 숲,서울특별시 서초구 매헌로 99,37.4712172,127.0367358
보라매공원,서울특별시 동작구 여의대방로20길 33,37.4932342,126.9197115
