,이름,주소,위도,경도
0,63빌딩,서울특별시 영등포구 63로 50 (여의도동),37.5198158,126.9403139
1,aT센터,서울특별시 서초구 강남대로 27 (양재동),37.4682596,127.0389985
2,COEX,서울특별시 강남구 영동대로 513 (삼성동),37.5116621,127.0594275
3,DDP,서울특별시 중구 을지로 281 (을지로7가),37.5675466,127.0099323
4,KBS 상암 미디어센터,서울특별시 마포구 매봉산로 45 (상암동 1652),37.5765004,126.8908654
5,MBC 글로벌미디어센터,서울특별시 마포구 상암동 성암로 267,37.58146983916733, 126.89117659820461
6,SBS 방송센터,서울특별시 양천구 목동서로 161 (목동),37.5288821,126.8738719
7,가든파이브,서울특별시 송파구 충민로 66 (문정동),37.4776148,127.1249617
8,가락시장,서울특별시 송파구 문정동 양재대로 932,37.49357091741093, 127.10976761169357
9,경동시장,서울특별시 동대문구 고산자로36길 3,37.5790378,127.0391429
10,경방 타임스퀘어,서울특별시 영등포구 영중로 15 타임스퀘어,37.5172058,126.9037140
11,경복궁,서울특별시 종로구 사직로 161 경복궁,37.5788408,126.9770162
12,고척 스카이돔,서울특별시 구로구 경인로 430 고척스카이돔,37.4982889,126.8671719
13,광화문,서울 종로구 효자로 12 국립고궁박물관,37.5766678,126.9749224
14,광화문 세종대왕상,서울특별시 종로구 세종대로 172,37.5716229,126.9767879
15,광화문 이순신동상,서울특별시 종로구 세종대로 172,37.5716229,126.9767879
16,국립국악원,서울특별시 서초구 남부순환로 2364,37.4778469,127.0088804
17,국립극장,서울특별시 중구 장충단로 59,37.5526708,126.9996175
18,국립서울현충원,서울특별시 동작구 현충로 210 (동작동),37.4998236,126.9784085
19,국립중앙도서관,서울특별시 서초구 반포대로 201 (반포동),37.4974617,127.0030085
20,국립중앙박물관,서울특별시 용산구 서빙고로 137,37.5240867,126.9803881
21,국립항공박물관,서울특별시 강서구 하늘길 177,37.5567230,126.8084734
22,국회의사당,서울특별시 영등포구 의사당대로 1 (여의도동),37.5319170,126.9142029
23,김포국제공항,서울특별시 강서구 하늘길 38,37.5713698,126.8029604
24,낙성대 강감찬 동상,서울특별시 관악구 낙성대로 77 낙성대공원,37.4713728,126.9603009
25,남산골한옥마을,서울특별시 중구 퇴계로34길 28 남산골한옥마을,37.5584554,126.9935610
26,남산서울타워,서울특별시 용산구 남산공원길 105,37.5510548,126.9878822
27,노량진수산시장,서울특별시 동작구 노들로 674 노량진수산물도매시장,37.5148693,126.9368431
28,덕수궁,서울특별시 중구 세종대로 99 덕수궁,37.5660945,126.9749148
29,독립문,서울특별시 서대문구 현저동 941,37.5722651,126.9595760
30,드래곤 힐스파,서울특별시 용산구 한강대로21나길 40,37.5282564,126.9642260
31,디큐브시티,서울특별시 구로구 경인로 662 (신도림동),37.5083236,126.8884274
32,롯데월드,서울특별시 송파구 올림픽로 240,37.5110794,127.0981638
33,롯데월드타워,서울특별시 송파구 올림픽로 300,37.5125702,127.1025625
34,목동 종합운동장,서울특별시 양천구 안양천로 939 아이스링크,37.5300930,126.8818961
35,문화역서울284(서울역),서울특별시 중구 통일로 1 문화역서울 284,37.5558207,126.9715927
36,보신각,서울특별시 종로구 종로 54 보신각,37.5698071,126.9836938
37,북서울 꿈의 숲,서울특별시 강북구 월계로 173,37.6233355,127.0407344
38,북촌한옥마을,서울특별시 종로구 계동길 37,37.5790768,126.9862753
39,블루스퀘어,서울특별시 용산구 이태원로 294,37.5408621,127.0024870
40,서대문형무소역사관,서울특별시 서대문구 통일로 251 서대문형무소역사관,37.5746107,126.9556272
41,서울광장,서울특별시 중구 세종대로 110 앞 (태평로1가),37.5666103,126.9783882
42,서울국제금융센터,서울특별시 영등포구 국제금융로 10 (여의도동),37.5245995,126.9253589
43,서울무역전시컨벤션센터,서울특별시 강남구 남부순환로 3104,37.4956835,127.0719668
44,서울숲,서울특별시 성동구 뚝섬로 273,37.5430834,127.0417933
45,서울식물원,서울특별시 강서구 마곡동로 161,37.5722444,126.8328429
46,서울올림픽주경기장,서울특별시 송파구 올림픽로 25 (잠실동),37.5148022,127.0736261
47,서울월드컵경기장,서울특별시 마포구 월드컵로 240 (성산동),37.5682553,126.8972733
48,서울특별시청,서울특별시 중구 세종대로 110,37.5666103,126.9783882
49,서초구 예술의 전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4785361,127.0107423
50,세빛섬,서울특별시 서초구 올림픽대로 2085-14 세빛섬,37.5124526,126.9959810
51,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5721860,126.9768172
52,숭례문,서울특별시 중구 세종대로 40,37.5599922,126.9753282
53,암사동 선사유적지,서울특별시 강동구 올림픽로 875,37.5606377,127.1303480
54,올림픽공원 평화의 문,서울특별시 송파구 위례성대로 51,37.5168649,127.1181845
55,용마폭포공원,서울특별시 중랑구 용마산로 250-12,37.5733585,127.0891367
56,용산역,서울특별시 용산구 한강대로23길 55,37.5297718,126.9647415
57,잠실야구장,서울특별시 송파구 올림픽로 19-2 서울종합운동장,37.5112526,127.0728634
58,장충체육관,서울특별시 중구 동호로 241,37.5581865,127.0067900
59,전쟁기념관,서울특별시 용산구 이태원로 29 전쟁기념관,37.5373958,126.9785121
60,종로타워,서울특별시 종로구 종로 51 (종로2가),37.5707534,126.9836385
61,종묘,서울특별시 종로구 종로 157,37.5731360,126.9948845
62,창경궁,서울특별시 종로구 창경궁로 185 창경궁,37.5776239,126.9938415
63,창덕궁,서울특별시 종로구 율곡로 99,37.5826041,126.9919376
64,창덕궁 비원,서울특별시 종로구 창경궁로 185 창경궁,37.5776239,126.9938415
65,청와대,서울특별시 종로구 청와대로 1,37.5862701,126.9766002
66,탑골공원,서울특별시 종로구 종로 99 (종로2가),37.5710052,126.9882853
67,테크노마트,서울특별시 광진구 광나루로56길 85 테크노-마트21,37.5357263,127.0957093
68,파크원,서울특별시 영등포구 여의대로 108 (여의도동),37.5259168,126.9283122
69,흥인지문,서울특별시 종로구 종로 288 흥인지문,37.5711370,127.0095673
