주소,이름,위도,경도,세부분류
서울특별시 종로구 종로1.2.3.4가동 41-1 인사동길,인사아트센터,37.5738194,126.9845894,미술관
서울특별시 종로구 평창동 578-3,일랑미술관,37.6085073,126.9701317,미술관
서울특별시 종로구 부암동 창의문로5가길 46,자하미술관,37.5893192,126.9602893,미술관
서울특별시 종로구 운니동 율곡로6길 13-3 19번지 B1,장은선갤러리,37.5766354,126.9896557,미술관
서울특별시 중구 신당4동 330-326,정표구화랑,37.5592729,127.0141254,미술관
서울특별시 종로구 가회동 31-38,갤러리조,37.5832084,126.9831452,미술관
서울특별시 강남구 삼성1동 159,조선화랑,37.5101935,127.0585824,미술관
서울특별시 종로구 팔판동 삼청로 59 2층,갤러리진선,37.5828906,126.980733,미술관
서울특별시 종로구 사직동 효자로 25,진화랑,37.5782915,126.973684,미술관
서울특별시 강남구 신사동 압구정로 134,청작화랑,37.5243111,127.0234993,미술관
서울특별시 강남구 청담동 삼성로147길 4 south KOREA,Chung Art Gallery 청화랑,37.5226989,127.0476372,미술관
서울특별시 종로구 낙원동 삼일대로 439,초대화랑,37.5728457,126.9884126,미술관
서울특별시 강남구 청담동 압구정로80길 17,카이스갤러리,37.5245727,127.0453677,미술관
서울특별시 강남구 삼성로149길 7 (청담동),케이앤갤러리,37.5231796,127.0469161,미술관
서울특별시 종로구 창성동 122-9,갤러리 쿤스트독,37.5796261,126.9726626,미술관
서울 관악구 보라매[봉천1동]동 963-26,태양석고조각,37.4880718,126.9326988,미술관
서울특별시 강남구 삼성동,보고재 갤러리,37.5139848,127.0565207,미술관
서울특별시 종로구 평창동 465-16,토탈미술관,37.6120334,126.9756591,미술관
서울특별시 중구 필동 충무로 9,월간 퍼블릭아트,37.5620193,126.9928867,미술관
서울특별시 종로구 Chebu-dong Jahamun-ro 5-gil 18-4,표갤러리,37.5778584,126.9708189,미술관
서울특별시 종로구 사간동 80,현대화랑,37.577203,126.9799131,미술관
서울특별시 종로구 부암동 자하문로40길 63,환기미술관,37.594224,126.9662,미술관
서울특별시 송파구 문정동 641-4번지 15층 1506호,(주)티드플랜,37.4851331,127.1238462,음악관
서울특별시 송파구 잠실본동 백제고분로9길 10,MBC 아카데미,37.5089827,127.080224,문화센터
서울특별시 중구 충정로1가 85 농협중앙회 중앙본부 신관 농협NH아트홀,NH아트홀,37.5666176,126.9684007,문화센터
서울특별시 강남구 수서동 밤고개로1길 52,강남스포츠문화센터,37.4889672,127.1052745,문화센터
서울특별시 강남구 역삼2동 772,계몽문화교실,37.497839,127.0442979,문화센터
서울특별시 금천구 독산4동 371-2,금천구민문화체육센터,37.4702259,126.9070647,문화센터
서울특별시 강동구 길동 18-3,길동생태문화센터,37.5383522,127.1545731,문화센터
