,주소,이름,위도,경도
0,서울특별시 동작구 시흥대로 596 (신대방동 신라스테이해링턴타워),신라스테이,37.4856291,126.9045688
1,서울특별시 서대문구 연세로4길 18-12 (창천동),신디,37.5567599,126.9378693
2,서울특별시 마포구 양화로 130 (서교동),라이즈호텔,37.5540634,126.9209108
3,서울특별시 성북구 아리랑로2길 11 (동선동4가),호텔야자 성신여대역점,37.5935408,127.0172431
4,서울특별시 강남구 봉은사로113길 23 (삼성동),호텔라엠 HOTEL La M,37.516814,127.0657865
5,서울특별시 강북구 삼양로181길 194-19 (우이동),월벽타운,37.6712713,127.0070561
6,서울특별시 마포구 서강로20길 20-10 (노고산동),오빠호스텔(oppa),37.5534344,126.9358952
7,서울특별시 종로구 돈화문로9길 37 (낙원동),호텔 라붐,37.5714665,126.9895955
8,서울특별시 종로구 수표로 89-8 (관수동),호텔더디자이너스 종로,37.5688381,126.9921146
9,서울특별시 성동구 무수막길 3-1 (금호동3가 208),별장여관,37.5482621,127.0252941
10,서울특별시 성동구 왕십리로22길 12-1 (도선동),저스트 스테이 호텔,37.5598586,127.0309134
11,서울특별시 종로구 삼일대로32가길 33 (익선동),호텔 다다-인사,37.5745884,126.9894695
12,'서울특별시 종로구 수표로22길 5 (낙원동외1필지(170번지))',브라운도트 호텔,37.57124779999999,126.98962
13,서울특별시 종로구 수표로18가길 17 (관수동),나포레 호텔,37.5688995,126.9907633
14,서울특별시 종로구 세검정로 238 (홍지동),신영,37.601247,126.9562041
15,서울특별시 종로구 창경궁로33길 5 (명륜2가),룩,37.5839277,126.9991041
16,서울특별시 종로구 대학로11길 37 (명륜4가),케이,37.5821564,126.9995456
17,서울특별시 종로구 숭인동길 14-8 (숭인동),쉬고(shigo),37.5757102,127.0219896
18,서울특별시 종로구 수표로26길 18 (돈의동),국일장,37.5720459,126.9900269
19,서울특별시 종로구 보문로 15-1 (숭인동),미 하우스,37.5770344,127.0229278
20,서울특별시 종로구 율곡로6길 19 (운니동),호텔아비숑,37.5764133,126.9896124
21,서울특별시 종로구 난계로29길 19-3 (숭인동),와이키키,37.5741696,127.0222294
22,서울특별시 서대문구 신촌로 157-7 (대현동),소라모텔,37.5606558,126.9465796
23,서울특별시 종로구 율곡로4길 59 (수송동),수송게스트하우스,37.5730311,126.9811013
24,서울특별시 중구 명동8가길 47 78층 (충무로2가),유에이치 스테이 명동,37.5619223,126.9876587
25,서울특별시 종로구 인사동길 30-9 (관훈동),하이게스트하우스(Hi guesthouse),37.5743048,126.9857081
26,서울특별시 종로구 삼일대로 388-7 (관철동),부티크호텔케이(BHK 01),37.5689806,126.9872859
27,서울특별시 종로구 창신길 28-7 (창신동),호스텔 바닐라 1,37.5728283,127.0111347
28,서울특별시 종로구 난계로29길 60 (숭인동),케이하우스 동대문,37.5737118,127.0199384
29,서울특별시 종로구 종로 322-10 (창신동),호텔큐비,37.5721507,127.0155496
30,서울특별시 종로구 율곡로 179 (원남동),메이플레이스 호텔 서울 동대문,37.5757301,126.996978
31,서울특별시 종로구 돈화문로11가길 21 (익선동),애플백팩커스,37.5735385,126.9908139
32,서울특별시 종로구 대학로2길 25-4 (효제동),종로하우스,37.5717243,127.0034888
33,서울특별시 종로구 동순라길 130 (원남동),창경호텔,37.5758063,126.996403
34,서울특별시 종로구 종로16길 18 (관철동),H 호텔,37.569187,126.9884547
35,서울특별시 종로구 돈화문로5길 36 (낙원동),미정,37.570695,126.9899942
36,서울특별시 종로구 인사동14길 7 (관훈동),H.H 모텔,37.5748037,126.9845296
37,서울특별시 종로구 종로48길 15-2 (창신동),명신,37.5715808,127.0119346
38,서울특별시 종로구 종로52길 18-6 (창신동),토이 하우스(Toy house),37.5712702,127.0132597
39,서울특별시 성동구 무학로 2 (도선동 360),스테이다다 왕십리점,37.56443,127.0302836
40,서울특별시 종로구 난계로29길 19-7 (숭인동),하나장,37.5739886,127.0222442
41,서울특별시 종로구 삼일대로 388-5 (관철동),스카이호텔,37.5693884,126.9885131
42,서울특별시 종로구 종로46길 11 (창신동),동명,37.5709932,127.0108431
43,서울특별시 종로구 종로 63-13 (인사동),빙고 호스텔(BINGO HOSTEL),37.5713183,126.9875519
