,주소,이름,위도,경도
0,갈현동 424-16,갈현시장,37.6235874,126.9173853
1,상도동 488,강남시장,37.5187486,127.0206399
2,신사동510-11,강남시장,37.4967455,126.9534877
3,역삼동821-1,강남역 지하도상가,37.4985945,127.028026
4,서초구 반포동 163,강남터미널지하도상점가1구역,37.5004776,126.98606
5,서초구 반포동 163-1,강남터미널지하도상점가2구역,37.5004776,126.98606
6,서초구 반포동 225,강남터미널지하도상점가3구역,37.5004776,126.98606
7,수유3동 177번지 일대,강북종합골목시장,37.6405676,127.0270519
8,수유3동 179-5,강북종합시장,37.6420367,127.0256339
9,개봉2동 324-1,개봉중앙시장,37.4916649,126.8538838
10,고척동 269-1,개봉프라자,37.5020179,126.851172
11,개포동 186-17,개포2동 중심상가,37.4892459,127.0687911
12,제기동 849,경동광성상가,37.5792906,127.0403356
13,제기동 1018,경동시장,37.5789124,127.0395422
14,양천구 신월동 447-8,경창시장,37.524924,126.8420896
15,고덕동 210-3 ,고덕전통시장,37.5575868,127.1689177
16,반포동 19-34,고속터미널 지하철역 상점가 ,37.5043058,127.0034897
17,고척동 257-12,고척근린시장,37.5024044,126.8505061
18,고척동 50-48,고척프라자,37.5037884,126.8627751
19,마포구 공덕동 256-10,공덕시장,37.5447975,126.9533474
20,공릉동 561-35,공릉동 도깨비시장,37.6228878,127.0772403
21,강남구 일원동 613,공무원연금매장 상록스토아 개포점,37.4893496,127.0746324
22,방화동 620-17,공항시장,37.5630013,126.8091012
23,신사동 494-7,관악신사시장(신림4동),37.4862908,126.9169544
24,신원동 1602-1,관악종합시장,37.4816266,126.9279347
25,광진구 중곡동 229-15,광성시장,37.5635761,127.0811132
26,예지동 293-1,광장골목시장,37.569375,126.9996711
27,예지동 6-1,광장시장,37.5700187,126.9988849
28,신당동 777,광희시장,37.5686346,127.0118902
29,구로동  736-1,구로시장,37.4885348,126.885264
30,광진구 구의동 66-25,구의시장,37.5456437,127.0885052
31,천호동 397-99 일대,굽은다리골목시장,37.5422736,127.1317846
32,금호동3가 326,금남시장,37.5484311,127.0226864
33,종로구 내자동 1,금천교시장,37.576508,126.9722519
34,길동 397-3 일대,길동골목시장,37.5370752,127.142803
35,길음동 535-8 540-2,길음시장,37.6027133,127.0217304
36,강서구 화곡8동 342-16,까치산시장,37.5315268,126.8478653
37,제기동 289 ~ 740,깡통시장(제기상가번영회),37.5864845,127.0413661
38,낙성대동 1612일대,낙성대 시장(봉천7동),37.4794447,126.9556689
39,낙원동 284-6,낙원상가,37.572557,126.9877725
40,낙원동 284-6,낙원지하시장(대일상가),37.572557,126.9877725
41,구로동 730-27,남구로시장(구 구로자율시장),37.4904813,126.885048
42,남대문로4가 18-2,남대문로 지하상가,37.5603813,126.9771774
43,남창동 49,남대문시장,37.5593733,126.9779334
44,독산동 984-10,남문시장,37.4736825,126.9003838
45,강서구 화곡동 802-19,남부골목시장,37.5331434,126.8606463
46,방배본동 767-1,남부종합시장,37.4949197,126.9848698
47,화곡동 830-1,남부화곡시장,37.5330664,126.8589885
48,영등포동5가 1617,남서울상가,37.5203995,126.907259
49,신당동 772,남평화시장,37.5691652,127.0108808
50,자양동 44-12,노룬산골목시장,37.5366074,127.0645873
51,광진구 자양동 44-2,노룬산시장,37.5365127,127.0648112
52,응암동 74-7,녹번시장,37.6005716,126.9304813
53,논현동227-4,논현종합시장,37.5099997,127.034741
54,자양동 553-219,능동로골목시장,37.5351556,127.0666416
55,답십리동 66-39,답십리시장,37.5731833,127.0580326
56,답십리동 14-11,답십리현대시장,37.566736,127.0593193
57,응암동 602   주변골목,대림골목시장,37.5879032,126.917496
58,응암동 754-1,대림시장,37.5867628,126.9176104
59,대림동963-5,대림시장,37.491372,126.9076634
60,대림2동 1075,대림중앙시장,37.4920588,126.8982724
61,시흥동 884-5,대명시장,37.4542598,126.9017753
62,시흥동 885,대명시장 및 주변상점가,37.4540439,126.9018479
63,신길동 116-15,대신시장,37.5110632,126.9176563
64,화곡동 1023,대원종합시장,37.544428,126.8364651
65,대조동 26-14 주변골목,대조시장,37.6090649,126.9263462
66,도림동 176,도림시장,37.509963,126.8983395
67,도선동 164,도선동상점가,37.5638393,127.0343287
68,도화동 179-5,도화동 상점가,37.5408692,126.9491234
69,동소문동5가 59-21 일대,돈암제일시장,37.5914404,127.0159054
70,영등포동5가24,동남상가,37.5205835,126.9056278
71,창신동 390-29,동대문문구완구종합시장,37.5712054,127.0144176
72,창신동 436-79,동대문상가A동,37.5700505,127.0106149
73,창신동 436-78,동대문상가B동,37.5700532,127.0119234
74,창신동 436-65,동대문상가C동,37.5700841,127.0133263
75,종로6가 289-42,동대문종합시장,37.5701556,127.0081731
76,종로6가 270-3,동대문종합시장D동상가,37.5706402,127.007323
77,종로구 종로6가 382-1,동대문지하쇼핑센터,37.57195,127.004975
78,창신동 437,동문시장,37.5705927,127.0112654
79,상봉동 130-161,동부골목시장,37.5924445,127.0762912
80,답십리동 495-1,동부시장,37.5676132,127.0522792
81,용두동 39-1,동부청과시장,37.5773617,127.0428693
82,미아1동 701-3,동북시장,37.62022,127.0187554
83,제기동 650,동서시장,37.5797731,127.0414772
84,천호동 422-1,동서울시장,37.5421572,127.1281902
85,신내동 786,동성타워프라자,37.6080721,127.0972863
86,돈암동 606일대,동소문 스카이상가,37.5972608,127.0104807
87,면목동 103-1,동원골목시장,37.5897144,127.0913791
88,면목동 101-1,동원시장,37.5898175,127.0898538
89,연남동 227-1538,동진시장,37.5623664,126.9266965
90,신당동 217-92,동평화시장,37.5694433,127.0139147
91,을지로6가 17-145,동화시장,37.5693599,127.0071031
92,대림3동717,두암시장,37.4952797,126.8980517
93,성내동 428-9 일대,둔촌역전통시장,37.527463,127.1351083
94,등촌동 637-10,등마루시장,37.5566273,126.8601515
95,성수동2가 335,뚝도시장,37.5388169,127.0544709
96,천호동 454-50 일대,로데오거리상점가,37.5383225,127.1266431
97,영등포동5가 20,로타리상가,37.5203178,126.905811
98,마장동 510-3,마장축산물시장,37.5697265,127.0383804
99,마천동 140-2,마천시장,37.4982611,127.1505378
100,마천동 134-14,마천중앙시장,37.4973838,127.1500097
101,성산2동 533-1,마포농수산물시장,37.5651346,126.8979262
102,마포구 공덕동 256-30,마포시장,37.5448107,126.9538425
103,서계동 260-1,만리시장,37.5512442,126.9635953
104,망원2동 423일대,망원동월드컵시장,37.5576651,126.9044815
105,망원1동 411일대,망원시장,37.5558465,126.905727
106,중곡동 566-3,면곡골목시장,37.5712615,127.0814846
107,면목동 352-9,면목골목시장,37.5772659,127.0846012
108,면목동 650,면목시장,37.5795862,127.0862927
109,남대문로2가 123,명동 지하도상가,37.5634922,126.9816771
110,중구 충무로2가 65-12,명동역지하도쇼핑센터,37.5610701,126.985591
111,명일동 333-2 일대,명일골목시장,37.5495042,127.1448791
112,남가좌동 290-2,모래내시장,37.5705156,126.9158194
113,목2동 526,목2동시장,37.5459926,126.8739372
114,목3동 610-19,목3동시장,37.5482627,126.8668146
115,목4동 738-1,목4동시장,37.5379918,126.8666093
116,목2동 503-1,목동제일시장,37.5465699,126.8706528
117,문정동 41-5,문정동 로데오거리 상점가,37.4891396,127.1238717
118,미성동 1563-85,미성동 도깨비시장,37.4743126,126.915919
119,시흥동 956,박미시장,37.4401476,126.904676
120,하월곡동 76-8 일대,밤나무골시장,37.6083615,127.0358606
121,주교동 251-1,방산시장,37.5674502,126.9997139
122,주교동 19-1,방산종합시장,37.5686744,127.0007958
123,강서구 방화동 567-23 ,방신재래시장,37.5713735,126.8123273
124,방이동 137-8,방이시장,37.5103619,127.1175231
125,미아4동 55번지 일대,방천골목시장,37.6132484,127.0310988
126,방학동 633번지 45,방학동도깨비시장,37.6657598,127.0352923
127,남가좌동 345-4,백련시장,37.5769893,126.9230765
128,번1동 411번지 일대,번동북부골목시장,37.6356639,127.0309362
129,번1동 413-3,번동북부시장,37.6362704,127.0303436
130,장위동 301,번동시장,37.6212389,127.0479357
131,보광동 260-8,보광시장,37.5272004,127.0002583
132,보문동1가204-20,보문골목시장,37.5856076,127.0205047
133,본동 187-1외 66필지,본동인정시장,37.5121681,126.9518629
134,은천동 951-25,봉일시장,37.4855955,126.9384154
135,청림동 10-5,봉천신시장,37.4886564,126.9588306
136,청룡동 921-1,봉천제일종합시장,37.4812747,126.9444627
137,중앙동 32-2,봉천중앙시장,37.4838978,126.9541742
138,은천동 502-4,봉천현대시장,37.4866003,126.9465367
139,면목동 472-45,사가정골목시장,37.5811138,127.0893651
140,사당4동 318-8,사당시장,37.4828421,126.9749806
141,신길동254-1,사러가시장,37.5061266,126.9107652
142,영등포동5가19,삼구시장,37.5203001,126.9058548
143,동소문동2가146,삼선골목시장,37.5882118,127.0084641
144,삼성동 808-1,삼성동 시장(신림6동),37.4718967,126.9335865
145,남창동 5,삼익패션타운,37.5601407,126.9789572
146,상계동 95-3,상계시장,37.6649354,127.0778111
147,상계동 389-641 외 49필지,상계중앙시장,37.6598167,127.0698702
148,잠실동 205-15,새마을시장,37.508909,127.083835
149,석관동 338-18,새석관시장,37.6081945,127.052649
150,서교동 357-1,서교시장,37.5534305,126.9216333
151,제기동 1126-5,서울약령시장,37.5790133,127.0370317
152,황학동 409,서울중앙시장,37.566763,127.0197725
153,낙성대동 1612일대,서원동상점가,37.4794447,126.9556689
154,남가좌동 286-35,서중시장,37.5712255,126.915782
155,석관동 270-1,석관시장,37.6091553,127.0602914
156,석관동 279-35 일대,석관황금시장,37.6095274,127.0614128
157,석촌동 275-5,석촌시장,37.5005463,127.1077776
158,성내동 144-16 일대,성내골목시장,37.5339855,127.1278144
159,상도동 324-1,성대시장,37.4999554,126.9317392
160,용답동 49-5,성동용답상가시장,37.5636,127.0524367
161,장사동 116-4,세운상가가동,37.5692642,126.9952101
162,소공동 87,소공지하도상가,37.564392,126.9799971
163,서울 강북구 미아동,솔샘시장(미아67동골목시장),37.631765,127.0244275
164,강서구 내발산동 723-10,송화골목시장,37.5487266,126.835716
165,강북구 수유동 405-5,수유북부시장,37.6361825,127.0160658
166,수유1동 54-5,수유시장,37.6307791,127.0229251
167,수유1동 505354번지일대,수유재래시장,37.6335691,127.0217182
168,수유1동 5354번지일대,수유전통시장(구)수유골목시장,37.6316376,127.0218101
169,수유3동 38번지 일대,수유중앙골목시장,37.6414103,127.021061
170,수유3동 32-2,수유중앙시장,37.6403266,127.0212903
171,수유1동 63,수유프라자,37.6317024,127.0234252
172,수색동 368-24,수일시장,37.582871,126.8951696
173,남창동 51-1,숭례문상가,37.559404,126.976203
174,미아5동 60-5,숭인시장,37.6132011,127.0294257
175,중구 을지로1가 56,시청광장 지하쇼핑센터,37.5662148,126.9796594
176,신월6동 575-17,신곡종합시장,37.5183539,126.8431331
177,신길2동 221-1,신길시장,37.5111475,126.9105864
178,노량진동 307-9,신노량진시장,37.5082655,126.9393044
179,도봉동611,신도봉시장,37.6702503,127.0411947
180,신길동259,신동시장,37.5063342,126.9095388
181,신사동 505-1,신림종합시장,37.5205192,127.0187722
182,조원동 541,신림중앙시장,37.4831492,126.9114671
183,서림동 1694,신림현대상가,37.4748983,126.932346
184,압구정동454,신사상가,37.5322699,127.0283743
185,숭인동 206-9,신설종합시장,37.5726504,127.0203023
186,광진구 중곡동 79-13,신성시장,37.5579689,127.0884519
187,신수동 288-1,신수시장,37.5454167,126.9355466
188,삼성동 390-1,신신림시장,37.470879,126.9321922
189,신내동 666,신아타운,37.6063993,127.0946663
190,신길동255-9,신영사러가시장,37.5065156,126.9102021
191,신월1동  113-33,신영시장,37.5332187,126.8354016
192,관악구 신원동 1587,신원시장(신림1동),37.4831585,126.9263634
193,신월3동 154,신월3동 골목시장,37.5342062,126.8251289
194,신월6동 574-15,신월6동 골목시장,37.5176108,126.8431403
195,신월7동 921,신월7동 골목시장,37.522795,126.8329227
196,화곡동 929-1,신월중앙시장,37.5280534,126.8423446
197,응암동427번지,신응암시장,37.5937172,126.9189607
198,신정1동 1029,신정1동 골목시장,37.5205992,126.8538224
199,신정2동 127-19,신정2동 골목시장,37.5209818,126.8766371
200,신정3동 1181-16,신정3동 골목시장,37.5184502,126.8526811
201,신정1동 1030-6,신정제일시장,37.5208052,126.8536649
202,오장동 44-12,신중부시장,37.5655557,126.9994618
203,신당동 217,신평화패션타운,37.5694151,127.0115539
204,용산동2가 1-480,신흥시장,37.5452591,126.9850373
205,쌍문동 94-29,쌍문역골목시장,37.6483532,127.0329504
206,청룡동 1545 일대,쑥고개 시장(봉천8동),37.4785883,126.94158
207,정릉동966-56,아리랑시장,37.6026278,127.0128066
208,아현동 327일대,아현골목시장,37.5567398,126.9554835
209,암사동 501-17 일대,암사종합시장,37.5508488,127.1287687
210,신당3동 372-40,약수시장,37.5533091,127.010844
211,양평동1가 31,양남시장,37.5232146,126.8904615
212,양재1동 1-78-1,양재시장,37.4843575,127.0379452
213,암사동 450-5 일대,양지골목시장,37.5556317,127.1368026
214,응암동 754-1,양지시장,37.5867628,126.9176104
215,강동구 암사3동 450-3,양지종합시장,37.5556329,127.1365727
216,영등포구 양평동4가 161-180,양평시장,37.5369869,126.8975189
217,신당동 776,에리어식스,37.5681165,127.0119499
218,역삼동796-22,역삼종합시장,37.492866,127.0391023
