,주소,이름,위도,경도
0,서울특별시 종로구 삼일대로 428 낙원상가 506호 (낙원동),낙원상가,37.5726662,126.9878079
1,서울특별시 종로구 예지동 6번지 1호,광장주식회사,37.5700023,126.9989023
2,서울특별시 성동구 왕십리로 109 성수만세주유소 (성수동1가),홈플러스익스프레스 뚝섬2점,37.547455,127.0442969
3,서울특별시 종로구 서린동 33호   ,영풍문고,37.5696304,126.9821706
4,서울특별시 종로구 창신동 436번지 79  호   ,동대문신발도매상가,37.5707725,127.0125758
5,서울특별시 종로구 종로 266 동대문종합시장D동상가  동 (종로6가),동대문종합시장D동상가,37.5706612,127.0072579
6,서울특별시 종로구 종로3가 175-4,종로세운상가,37.5702051,126.9950971
7,서울특별시 종로구 종로 347 (숭인동),홈플러스(주)익스프레스 숭인점,37.57780899999999,127.0223493
8,서울특별시 종로구 지봉로 81 (창신동 브라운스톤 창신),브라운스톤 창신상가,37.5773397,127.0150489
9,서울특별시 종로구 종로 272 (종로6가),동대문종합시장 신관,37.5710149,127.0078509
10,서울특별시  구일로10길 27 B동 1층 (제118호제119호제121호~126호),홈플러스 익스프레스 서울구로점,37.4958336,126.87265
11,서울특별시 성북구 길음로13길 22 (길음동 길음뉴타운7단지두산위브아파트),롯데마이슈퍼 길음점,37.6096969,127.0188531
12,서울특별시 종로구 창경궁로 88 (예지동),광장시장,37.5700458,126.9960615
13,서울특별시 종로구 청계천로 41 (서린동),(주)영풍문고,37.5696304,126.9821706
14,서울특별시 용산구 한강대로23길 55 (한강로3가),아이파크몰(I PARK MALL),37.5298245,126.9645796
15,서울특별시 종로구 창경궁로 109 (인의동),세운스퀘어,37.5725238,126.9980383
16,서울특별시 종로구 종로 266 (종로6가),동대문종합시장,37.5703632,127.0071784
17,서울특별시 중구 청계천로 160 세운청계상가 (산림동),청계상가,37.5681618,126.9953217
18,서울특별시 중구 남대문시장4길 21 (남창동),서울남대문시장,37.55914730000001,126.977641
19,서울특별시 중구 마장로 30 (신당동),팀204,37.5676753,127.0131827
